id,ARRAY_PARTITION_FACTOR,INIT_INTERVAL_HOR,INIT_INTERVAL_VER,ACCELERATOR_1_UNCERTAINTY,DATA_MOVER_CLOCK,ACCELERATOR_2_CLOCK,UNROLL_FACTOR_VER,ACCELERATOR_2_UNCERTAINTY,ACCELERATOR_1_CLOCK,UNROLL_FACTOR_HOR,state,time
726,7,1,2,27.043881073600296,1,3,1,77.24702588238095,1,1,OK,188164.0
754,5,1,2,27.043881073600296,1,3,1,77.24702588238095,1,1,OK,188156.0
299,9,1,2,36.27584123252521,2,3,1,97.04183767342523,3,1,ERROR,inf
300,9,1,2,45.52089735904305,1,3,1,80.4838730341895,1,1,ERROR,inf
301,9,1,2,46.04677609080775,1,3,1,77.24702588238095,0,1,ERROR,inf
302,9,1,1,18.695261255448376,1,3,1,77.98265083081559,1,1,OK,127038.0
303,14,1,2,40.700357182232985,1,0,1,79.5961322431993,1,1,OK,151516.0
304,8,1,2,21.773170867020355,3,3,1,77.24702588238095,1,1,ERROR,inf
305,2,3,2,43.9201874412869,2,1,2,56.812440729867134,0,2,ERROR,inf
900,9,1,2,27.043881073600296,1,3,2,77.24702588238095,1,1,OK,127346.0
308,3,1,2,27.043881073600296,1,3,1,77.24702588238095,1,1,OK,310260.0
309,1,1,2,27.043881073600296,2,3,1,77.24702588238095,1,1,ERROR,inf
310,9,1,2,91.5607423281907,1,3,1,50.37421783336363,1,1,OK,127188.0
311,9,1,2,27.043881073600296,1,3,1,94.74215938459109,0,2,ERROR,inf
312,9,1,2,87.11238857256637,0,3,1,77.24702588238095,1,1,ERROR,inf
313,9,1,2,27.043881073600296,1,3,1,62.28819904614566,3,1,ERROR,inf
314,9,6,2,27.043881073600296,1,1,1,77.24702588238095,1,1,OK,535254.0
315,9,1,1,27.043881073600296,1,3,1,20.925233590097402,0,1,ERROR,inf
316,7,1,2,61.248506525818044,1,3,1,77.24702588238095,1,1,OK,188060.0
882,9,1,2,27.043881073600296,1,1,1,77.24702588238095,1,1,OK,176004.0
318,9,1,2,27.043881073600296,1,2,1,77.24702588238095,1,2,TIMEOUT,inf
694,1,1,2,27.043881073600296,1,3,1,77.24702588238095,0,1,ERROR,inf
320,2,1,2,27.043881073600296,1,3,1,77.24702588238095,3,1,ERROR,inf
