id,PIPELINE_II_SUB,KERNEL_CLOCK,UNROLL_FACTOR_EXP1,UNROLL_FACTOR_EXP2,UNROLL_FACTOR_ECB1,UNROLL_FACTOR_ECB3,UNROLL_FACTOR_ECB2,PIPELINE_II_ADDKEY,PIPELINE_II_ECB1,PIPELINE_II_ECB2,PIPELINE_II_ECB3,PIPELINE_II_EXP1,PIPELINE_II_EXP2,PIPELINE_EXP2,PIPELINE_EXP1,UNROLL_FACTOR_ADDKEY,UNROLL_FACTOR_SUB,UNROLL_FACTOR_MIX,PIPELINE_SUB,PIPELINE_II_CPKEY,PIPELINE_II_MIX,PIPELINE_ECB2,PIPELINE_ECB3,PIPELINE_ECB1,PIPELINE_ADDKEY,DATA_MOVER_CLOCK,UNROLL_FACTOR_CPKEY,PIPELINE_MIX,PIPELINE_CPKEY,state,presynth_time,synth_time,impl_time,run_time
132,5,2,3,1,31,3,4,3,26,7,5,3,1,False,False,16,15,3,False,15,4,True,True,True,True,2,10,False,False,OK,403.07,1745.01,421.96,612460.0
133,15,2,3,2,18,11,4,9,20,8,2,2,3,False,False,14,10,2,False,11,1,True,True,True,True,2,14,False,True,OK,412.88,1672.32,454.91,611002.0
134,2,3,3,3,20,12,4,9,15,7,6,2,1,True,False,15,4,4,True,4,3,False,False,False,True,2,8,True,False,TIMING,379.21,951.3,inf,inf
135,13,2,3,3,26,5,4,14,12,1,10,2,3,False,True,16,8,3,True,12,1,True,False,False,True,2,4,False,True,OK,380.94,856.65,362.29,608828.0
136,6,2,2,2,5,10,5,7,11,2,1,2,3,False,False,15,11,2,False,9,1,True,True,False,False,2,12,False,True,OK,398.62,1726.69,424.36,615112.0
137,7,2,3,2,29,12,5,16,29,6,8,3,3,True,True,14,12,4,True,1,1,True,False,True,False,2,7,True,True,OK,379.96,939.23,352.02,598098.0
138,2,3,3,3,10,1,5,9,12,3,3,1,3,True,False,16,12,4,True,16,2,False,True,False,True,2,5,True,True,STO,407.8,inf,inf,inf
139,10,2,1,1,20,2,6,9,23,1,4,2,2,True,True,16,14,2,False,6,1,False,True,False,True,2,8,True,True,OK,404.37,1794.59,424.28,611666.0
140,16,2,3,1,1,1,8,16,19,8,13,1,1,False,False,16,16,2,False,16,3,True,True,True,False,2,5,False,True,OK,406.33,1707.28,402.72,611044.0
141,16,2,1,1,13,5,5,8,14,4,7,2,3,False,False,14,4,3,False,13,3,False,True,True,True,2,6,False,False,OK,404.78,1671.14,425.9,611220.0
