id,DATA_MOVER_SHARING,CONVOLVERS,KERNEL_CLOCK,IMPL_STRATEGY,DATA_MOVER_CLOCK,CLOCK_UNCERTAINTY,state,presynth_time,synth_time,impl_time,run_time
1251,3,2,2,10,2,98.56055692483278,OK,647.68,652.38,374.75,1870568228.0
1252,3,2,2,8,2,23.550211090316285,OK,646.45,615.25,297.6,1383812070.0
1253,2,2,2,22,2,98.2601175917847,OK,629.49,634.05,367.61,1870664034.0
1254,3,2,1,15,1,55.166308615350744,OK,650.17,641.68,367.27,1223490768.0
1255,1,2,2,18,2,65.77022002991443,OK,630.92,696.64,323.1,1499055740.0
1256,1,2,2,10,2,48.981565260195325,OK,641.09,620.83,291.9,1428390222.0
1257,3,1,1,16,1,59.279891894675174,OK,537.19,634.23,312.06,1660793194.0
1258,3,2,2,8,2,62.385617792313056,OK,633.3,648.85,318.91,1494700818.0
1259,3,2,2,8,2,39.519285960736816,OK,632.31,667.86,292.49,1394926316.0
1260,2,2,2,15,2,64.50257212851913,OK,627.19,642.47,322.84,1498228714.0
1261,1,2,2,15,2,70.02274851865778,OK,652.04,623.83,322.98,1499838644.0
1262,3,1,2,9,2,12.819916307257017,OK,533.53,638.72,283.65,1917272682.0
1263,0,2,2,18,2,69.9169066028934,OK,650.76,674.62,313.59,1499798354.0
1264,3,2,2,3,2,17.380391976669085,OK,613.83,658.94,297.44,1383820858.0
1265,3,2,2,16,2,75.26529192047985,OK,654.27,654.96,338.52,1568978562.0
1266,3,2,2,14,2,54.375937045591094,OK,636.93,637.7,311.9,1441060504.0
1267,1,1,1,23,1,55.836373829511665,OK,555.61,591.49,303.52,1644677406.0
1268,2,1,1,1,1,62.06690585331385,OK,555.68,639.92,329.45,1721067638.0
1269,1,1,1,20,1,52.755794222451335,OK,571.34,624.07,323.43,1646018036.0
1270,1,2,1,11,1,55.41083481915807,OK,650.29,614.35,348.38,1223367318.0
1271,3,2,1,23,1,61.09731027902292,OK,637.41,666.25,369.41,1253797334.0
1272,3,2,2,8,2,41.48257226015657,OK,647.95,691.6,313.49,1405931010.0
1273,1,2,2,15,2,18.07655805524734,OK,640.51,625.17,299.02,1383781394.0
1274,3,2,2,24,2,57.58639559891354,OK,623.95,653.78,311.92,1445334444.0
1275,0,2,2,4,2,28.638076555231983,OK,620.26,668.54,312.96,1393781652.0
1276,3,1,2,13,2,17.302366978083093,OK,543.68,555.19,292.93,1917279150.0
1277,0,1,2,17,2,39.07809395269243,OK,530.01,623.33,291.93,1939422438.0
1278,2,1,1,2,1,59.543253574218355,OK,525.76,607.42,309.04,1660827082.0
1279,1,1,1,9,1,54.72549418743793,OK,524.47,655.04,311.71,1644657180.0
1280,0,2,2,14,2,29.246557031667276,OK,630.18,641.87,293.16,1393749918.0
1281,2,1,2,13,2,30.50169535580919,OK,534.32,655.36,291.78,1938261318.0
1282,1,1,1,7,1,56.34144054833443,OK,527.1,649.12,308.11,1644716130.0
1283,2,1,2,11,2,97.32527206214873,OK,528.34,623.52,320.56,2543599420.0
1284,2,2,2,25,2,92.74278524630331,OK,652.81,629.07,369.19,1880541662.0
1285,0,1,2,21,2,34.398952273930306,OK,552.62,627.49,279.9,1939466726.0
1286,0,2,2,14,2,65.30170308346618,OK,625.71,650.96,313.83,1498646726.0
1287,2,2,2,25,2,34.090861597385484,OK,646.27,655.88,308.48,1394797590.0
1288,0,2,2,8,2,47.3696069365831,OK,657.44,644.54,286.47,1418242608.0
1289,1,1,2,0,2,42.47584508518919,OK,515.7,633.26,288.37,1961430122.0
1290,1,2,1,21,1,61.42659623550222,OK,656.49,650.88,357.63,1262616752.0
1291,1,2,2,25,2,78.77681885759876,OK,651.61,658.21,332.49,1578633824.0
1292,2,2,1,26,1,61.151990182103646,OK,624.94,642.38,363.25,1253742162.0
1293,1,2,2,6,2,82.17528067884787,OK,647.84,653.82,353.95,1689444946.0
1294,3,2,2,24,2,93.9754875457088,OK,636.6,649.6,367.73,1870705982.0
1295,2,1,1,19,1,53.212258090559025,OK,541.14,678.64,322.58,1646037810.0
1296,2,7,1,13,1,51.23305791292344,TIMING,2442.45,675.53,inf,inf
1297,2,2,2,5,2,67.28018089159634,OK,632.12,586.32,323.58,1499608546.0
1298,2,2,2,0,2,43.31611235577846,OK,636.67,624.54,292.3,1405885496.0
1299,1,1,1,19,1,55.15181686406581,OK,534.56,634.64,327.54,1644822984.0
1300,3,2,2,18,2,96.85475396174161,OK,664.88,659.34,357.8,1870543506.0
1301,2,1,2,24,2,44.522655735011874,OK,529.61,651.67,282.43,1962874958.0
1302,2,1,2,25,2,17.912319061390825,TIMING,521.94,666.68,inf,inf
1303,1,2,2,23,2,16.814508339660385,OK,621.99,636.65,316.07,1383695594.0
1304,2,2,1,21,1,62.237715308575034,OK,627.75,674.0,369.42,1262608896.0
1305,2,2,1,13,1,54.417170456408314,OK,648.57,639.52,333.43,1223400300.0
1306,3,1,1,24,1,28.717829750236856,OK,521.95,658.01,296.67,1578324958.0
1307,0,2,2,15,2,79.27533930552,OK,647.26,643.11,328.11,1578615440.0
1308,3,1,2,13,2,32.20494135778969,OK,523.68,651.89,283.35,1938419976.0
1309,3,2,2,17,2,34.43494198885645,OK,623.45,677.58,292.33,1394843852.0
1310,1,2,2,5,2,17.66075095163543,OK,658.51,633.1,298.84,1383731952.0
